nome_curso;modalidade_ensino;ingressantes_2009;ingressantes_2010;ingressantes_2011;ingressantes_2012;ingressantes_2013;ingressantes_2014;ingressantes_2015;ingressantes_2016;ingressantes_2017;ingressantes_2018;concluintes_2009;concluintes_2010;concluintes_2011;concluintes_2012;concluintes_2013;concluintes_2014;concluintes_2015;concluintes_2016;concluintes_2017;concluintes_2018
ADMINISTRACAO CNI;Presencial;34.0;;;;;;;;;;30.0;;;;;;;;;
ADMINISTRACAO COM ENFASE EM MARKETING DA MODA;Presencial;92.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO COMERCIO EXT;Presencial;2.0;;;;;;;;;;97.0;;;;;;;;;
ADMINISTRACAO CTB;Presencial;31.0;;;;;;;;;;34.0;;;;;;;;;
ADMINISTRACAO CURRAIS NOVOS;Presencial;47.0;;;;;;;;;;40.0;;;;;;;;;
ADMINISTRACAO DE AGRONEGOCIOS;Presencial;67.0;;;;;;;;;;21.0;;;;;;;;;
ADMINISTRACAO DE EMPRESAS;Presencial;1886.0;;;;;;;;;;1194.0;;;;;;;;;
ADMINISTRACAO DE EMPRESAS - COMERCIO EXTERIOR;Presencial;114.0;;;;;;;;;;60.0;;;;;;;;;
ADMINISTRACAO DE EMPRESAS CAMPUS POMPEIA;Presencial;97.0;;;;;;;;;;102.0;;;;;;;;;
ADMINISTRACAO DIURNO;Presencial;89.0;;;;;;;;;;78.0;;;;;;;;;
ADMINISTRACAO E NEGOCIOS;Presencial;16.0;;;;;;;;;;9.0;;;;;;;;;
ADMINISTRACAO EM COMERCIO EXTERIOR;Presencial;228.0;;;;;;;;;;187.0;;;;;;;;;
ADMINISTRACAO EM GESTAO ORGANIZACIONAL;Presencial;49.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE;Presencial;37.0;;;;;;;;;;78.0;;;;;;;;;
ADMINISTRACAO EMPRESAS E NEGOCIOS;Presencial;2.0;;;;;;;;;;88.0;;;;;;;;;
ADMINISTRACAO ENFASE EM EMPREENDEDORISMO E GESTAO ESTRATEGICA;Presencial;175.0;;;;;;;;;;85.0;;;;;;;;;
ADMINISTRACAO ENFASE EM GESTAO EMPREENDEDORA;Presencial;1.0;;;;;;;;;;7.0;;;;;;;;;
ADMINISTRACAO ENFASE EM MARKETING;Presencial;253.0;;;;;;;;;;95.0;;;;;;;;;
ADMINISTRACAO ENFASE EM RECURSOS HUMANOS;Presencial;1.0;;;;;;;;;;2.0;;;;;;;;;
ADMINISTRACAO FGO;Presencial;29.0;;;;;;;;;;13.0;;;;;;;;;
ADMINISTRACAO FORMACAO COMERCIO EXTERIOR;Presencial;40.0;;;;;;;;;;60.0;;;;;;;;;
ADMINISTRACAO GERAL;Presencial;42.0;;;;;;;;;;9.0;;;;;;;;;
ADMINISTRACAO GESTAO AMBIENTAL;Presencial;13.0;;;;;;;;;;1.0;;;;;;;;;
ADMINISTRACAO HABILITACAO EM COMERCIO EXTERIOR;Presencial;18.0;;;;;;;;;;51.0;;;;;;;;;
ADMINISTRACAO HABILITACAO EM MARKETING;Presencial;37.0;;;;;;;;;;117.0;;;;;;;;;
ADMINISTRACAO HABILITACAO EM RECURSOS HUMANOS;Presencial;14.0;;;;;;;;;;95.0;;;;;;;;;
ADMINISTRACAO HOSPITALAR;Presencial;1.0;;;;;;;;;;11.0;;;;;;;;;
ADMINISTRACAO INDUSTRIAL;Presencial;128.0;;;;;;;;;;39.0;;;;;;;;;
ADMINISTRACAO INTEGRAL;Presencial;125.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO INTERLAGOS;Presencial;80.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO LINHA DE FORMACAO ADMINISTRACAO PUBLICA;Presencial;19.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO LINHA DE FORMACAO EM COMERCIO EXTERIOR;Presencial;69.0;;;;;;;;;;2.0;;;;;;;;;
ADMINISTRACAO LINHA DE FORMACAO EM FINANCAS;Presencial;95.0;;;;;;;;;;5.0;;;;;;;;;
ADMINISTRACAO LINHA DE FORMACAO EM MARKETING;Presencial;112.0;;;;;;;;;;7.0;;;;;;;;;
ADMINISTRACAO LINHA DE FORMACAO EM RECURSOS HUMANOS;Presencial;77.0;;;;;;;;;;3.0;;;;;;;;;
ADMINISTRACAO MARAJOARA;Presencial;109.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO MARKETING;Presencial;4.0;;;;;;;;;;62.0;;;;;;;;;
ADMINISTRACAO MATUTINO;Presencial;44.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO MFA;Presencial;54.0;;;;;;;;;;36.0;;;;;;;;;
ADMINISTRACAO MOEMA;Presencial;15.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO MOOCA;Presencial;8.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO NATAL;Presencial;195.0;;;;;;;;;;131.0;;;;;;;;;
ADMINISTRACAO NOTURNO;Presencial;409.0;;;;;;;;;;258.0;;;;;;;;;
ADMINISTRACAO PA;Presencial;101.0;;;;;;;;;;26.0;;;;;;;;;
ADMINISTRACAO PETROPOLIS;Presencial;92.0;;;;;;;;;;52.0;;;;;;;;;
ADMINISTRACAO PINHEIROS;Presencial;41.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO PORTO VELHO;Presencial;51.0;;;;;;;;;;17.0;;;;;;;;;
ADMINISTRACAO PRACA DA LIBERDADE;Presencial;144.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO PUBLICA;Presencial;417.0;;;;;;;;;;576.0;;;;;;;;;
ADMINISTRACAO RNO;Presencial;33.0;;;;;;;;;;35.0;;;;;;;;;
ADMINISTRACAO RURAL;Presencial;1.0;;;;;;;;;;11.0;;;;;;;;;
ADMINISTRACAO SR;Presencial;143.0;;;;;;;;;;67.0;;;;;;;;;
ADMINISTRACAO TP;Presencial;92.0;;;;;;;;;;34.0;;;;;;;;;
ADMINISTRACAO TRIBUTARIA E FINANCAS GOVERNAMENTAIS;Presencial;1.0;;;;;;;;;;1.0;;;;;;;;;
ADMINISTRACAO VILA FORMOSA;Presencial;37.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO VILA VALQUEIRE;Presencial;60.0;;;;;;;;;;31.0;;;;;;;;;
ADMINISTRAÇÃO;Presencial;;184578.0;188172.0;212165.0;196608.0;194744.0;168903.0;154436.0;145860.0;132358.0;;87450.0;92382.0;95373.0;85782.0;82756.0;86876.0;83242.0;78183.0;72578.0
ADMINISTRAÇÃO - ADMINISTRAÇÃO DE EMPRESAS;Presencial;;1181.0;386.0;;;;;;;;;1165.0;652.0;;;;;;;
ADMINISTRAÇÃO - ADMINISTRAÇÃO DE EMPRESAS E NEGÓCIOS;Presencial;;1.0;14.0;;;;;;;;;94.0;66.0;;;;;;;
ADMINISTRAÇÃO - ADMINISTRAÇÃO DE SERVIÇOS PÚBLICOS;Presencial;;1.0;1.0;;;;;;;;;91.0;51.0;;;;;;;
ADMINISTRAÇÃO - ADMINISTRAÇÃO EM COMÉRCIO EXTERIOR;Presencial;;2.0;;;;;;;;;;1.0;;;;;;;;
ADMINISTRAÇÃO - ADMINISTRAÇÃO FINANCEIRA;Presencial;;3.0;;;;;;;;;;38.0;;;;;;;;
ADMINISTRAÇÃO - ADMINISTRAÇÃO GERAL;Presencial;;471.0;938.0;;;;;;;;;354.0;316.0;;;;;;;
ADMINISTRAÇÃO - ADMINISTRAÇÃO HOSPITALAR;Presencial;;4.0;;;;;;;;;;34.0;;;;;;;;
ADMINISTRAÇÃO - ADMINISTRAÇÃO INTERNACIONAL;Presencial;;;1.0;;;;;;;;;;1.0;;;;;;;
ADMINISTRAÇÃO - ADMINISTRAÇÃO PÚBLICA;Presencial;;1.0;;;;;;;;;;22.0;;;;;;;;
ADMINISTRAÇÃO - AGRONEGÓCIO;Presencial;;2.0;;;;;;;;;;26.0;;;;;;;;
ADMINISTRAÇÃO - ANÁLISE DE SISTEMAS;Presencial;;3.0;;;;;;;;;;72.0;;;;;;;;
ADMINISTRAÇÃO - COMÉRCIO EXTERIOR;Presencial;;400.0;378.0;;;;;;;;;630.0;522.0;;;;;;;
ADMINISTRAÇÃO - FINANÇAS;Presencial;;119.0;25.0;;;;;;;;;193.0;18.0;;;;;;;
ADMINISTRAÇÃO - GESTÃO DE INFORMÁTICA;Presencial;;49.0;65.0;;;;;;;;;26.0;44.0;;;;;;;
ADMINISTRAÇÃO - GESTÃO DE NEGÓCIOS;Presencial;;7.0;14.0;;;;;;;;;100.0;133.0;;;;;;;
ADMINISTRAÇÃO - GESTÃO DE NEGÓCIOS INTERNACIONAIS;Presencial;;13.0;10.0;;;;;;;;;113.0;56.0;;;;;;;
ADMINISTRAÇÃO - GESTÃO DE SISTEMAS DE INFORMAÇÃO;Presencial;;1.0;;;;;;;;;;6.0;;;;;;;;
ADMINISTRAÇÃO - GESTÃO EMPRESARIAL;Presencial;;;2.0;;;;;;;;;;45.0;;;;;;;
ADMINISTRAÇÃO - HOTELARIA;Presencial;;1.0;;;;;;;;;;0.0;;;;;;;;
ADMINISTRAÇÃO - LOGÍSTICA E SERVIÇOS;Presencial;;1.0;;;;;;;;;;86.0;;;;;;;;
ADMINISTRAÇÃO - MARKETING;Presencial;;238.0;51.0;;;;;;;;;588.0;84.0;;;;;;;
ADMINISTRAÇÃO - NEGÓCIOS;Presencial;;28.0;;;;;;;;;;9.0;;;;;;;;
ADMINISTRAÇÃO - RECURSOS HUMANOS;Presencial;;45.0;1.0;;;;;;;;;77.0;2.0;;;;;;;
